Category,Model,MAE,RMSE
가구/인테리어,Random Forest,0.2598899561639212,0.36104578994491837
가구/인테리어,XGBoost,0.24847057681126963,0.3803699712482241
가구/인테리어,LightGBM,0.22871620921264474,0.34228502465626387
기타,Random Forest,0.23918201867438638,0.3005419869247987
기타,XGBoost,0.24559097187649906,0.3081610217520906
기타,LightGBM,0.2087580516715376,0.2627301468704227
도서/교육,Random Forest,0.28944891867646944,0.3493475900294307
도서/교육,XGBoost,0.2581977579294837,0.3251591863013119
도서/교육,LightGBM,0.260080486805059,0.3165878268898777
미디어/엔터테인먼트,Random Forest,0.3083465221486599,0.3693216892770439
미디어/엔터테인먼트,XGBoost,0.28447140461684545,0.3477938679462675
미디어/엔터테인먼트,LightGBM,0.25643771804344073,0.31345301648221935
뷰티/건강,Random Forest,0.27181116726526533,0.32947464242350927
뷰티/건강,XGBoost,0.28290028393420635,0.34064797120697615
뷰티/건강,LightGBM,0.2481196243161317,0.3077813412098087
스포츠/야외 활동,Random Forest,0.2738090346801365,0.3474801626960241
스포츠/야외 활동,XGBoost,0.2664643215469767,0.33494893572071477
스포츠/야외 활동,LightGBM,0.22597805414613703,0.2846356537928007
식품/음료,Random Forest,0.3170772394190026,0.397841647467228
식품/음료,XGBoost,0.3401961608247521,0.4344946910688478
식품/음료,LightGBM,0.3196444421989912,0.3972562448896627
유아/애완용품,Random Forest,0.24303591387928064,0.31751797347670685
유아/애완용품,XGBoost,0.24198225339103877,0.3099318782165234
유아/애완용품,LightGBM,0.22766417294918972,0.3032170619521111
전자제품/기술,Random Forest,0.24419610413328002,0.3336496824267574
전자제품/기술,XGBoost,0.24321731268514116,0.34008837403376685
전자제품/기술,LightGBM,0.23224308071624988,0.3304349649566226
패션/액세서리,Random Forest,0.28179009180698733,0.35727932348209906
패션/액세서리,XGBoost,0.29057875126089583,0.3536021118242487
패션/액세서리,LightGBM,0.2674114453240847,0.33574584380605715
